variable,description,nodata,item
sum_m_35_2025,"Total population male, ages 35 to 40, 2025",,world_pop
sum_m_40_2025,"Total population male, ages 40 to 45, 2025",,world_pop
sum_m_45_2025,"Total population male, ages 45 to 50, 2025",,world_pop
sum_m_50_2025,"Total population male, ages 50 to 55, 2025",,world_pop
sum_m_55_2025,"Total population male, ages 55 to 60, 2025",,world_pop
sum_m_60_2025,"Total population male, ages 60 to 65, 2025",,world_pop
sum_m_65_2025,"Total population male, ages 65 to 70, 2025",,world_pop
sum_m_70_2025,"Total population male, ages 70 to 75, 2025",,world_pop
sum_m_75_2025,"Total population male, ages 75 to 80, 2025",,world_pop
sum_m_80_2025,"Total population male, ages 80 to 85, 2025",,world_pop
sum_m_85_2025,"Total population male, ages 85 to 90, 2025",,world_pop
sum_m_90_2025,"Total population male, ages 90 and above, 2025",,world_pop
sum_pop_2015,"Total population, 2015",,world_pop
sum_pop_2016,"Total population, 2016",,world_pop
sum_pop_2017,"Total population, 2017",,world_pop
sum_pop_2018,"Total population, 2018",,world_pop
sum_pop_2019,"Total population, 2019",,world_pop
sum_pop_2020,"Total population, 2020",,world_pop
sum_pop_2021,"Total population, 2021",,world_pop
sum_pop_2022,"Total population, 2022",,world_pop
sum_pop_2023,"Total population, 2023",,world_pop
sum_pop_2024,"Total population, 2024",,world_pop
sum_pop_2025,"Total population, 2025",,world_pop
sum_pop_2026,"Total population, 2026",,world_pop
sum_pop_2027,"Total population, 2027",,world_pop
sum_pop_2028,"Total population, 2028",,world_pop
sum_pop_2029,"Total population, 2029",,world_pop
sum_pop_2030,"Total population, 2030",,world_pop
sum_f_2025,"Total female population, all ages, 2025",,world_pop
sum_m_2025,"Total male population, all ages, 2025",,world_pop
